Property Address,Property City,Property State,Property Type,Land Area AC,Land Area SF,Star Rating,Sale Price,Sale Date,Sale Status,Asking Price,Price Per AC Land,Price Per SF Land,Property Name,Buyer (True) Company,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Seller (True) Origin,Listing Broker Company,Secondary Type,Zoning,Submarket Name,Location Type,Property County,Property Zip Code,Corner,Map Code,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Longitude,Latitude
24 Loose Ln,Leesport,PA,Land,27.19,1184396,2 Star,"$895,000 ",,Under Contract,"895,000","32,916.51",0.76,,,,,,,Commonwealth Real Estate LLC,Agricultural,MDR,Berks County,Suburban,Berks,19533,,,,,,,,-75.965601,40.457604
2748-2750 Kriebel Rd,Harleysville,PA,Land,24.49,1066784,2 Star,"$825,000 ",,Under Contract,"825,000","33,687.22",0.77,,,,,,,KW Commercial,Agricultural,R200,West Montgomery County,Suburban,Montgomery,19438-3120,,,,,,,,-75.3727352,40.232825
282 Rt 79,Morganville,NJ,Land,6,261360,2 Star,"$750,000 ",,Under Contract,"750,000","125,000.00",2.87,,,,,,,Sitar Company,Agricultural,C-50,Western Monmouth,Suburban,Monmouth,7751,,,,,,,,-74.2481538,40.356882
1667 E Canal Rd,Dover,PA,Land,13,566280,2 Star,"$699,000 ",,Under Contract,"699,000","53,769.23",1.23,,,,,,,"Rock Commercial Real Estate, LLC",Agricultural,R-1,York County,Suburban,York,17315-3603,,,,,,,,-76.83754,40.00621
2625 Tract Rd,Fairfield,PA,Land,10.63,463042,,"$450,000 ",,Under Contract,"450,000","42,333.02",0.97,,,,,,,"Miller & Associates Real Estate, LLC",Agricultural,Agricultural,Adams County,Suburban,Adams,17320,,,,,,,,-77.34236,39.73089
356 Gabel Rd,Callicoon,NY,Land,60.32,2627539,,"$449,900 ",,Under Contract,"449,900","7,458.55",0.17,Long Farm,,,,,,Malek Properties,Agricultural,,Hudson Valley Area NY,Suburban,Sullivan,12723-5866,,,,,,,,-74.9932,41.74743
105 Brookfield Ave,Center Moriches,NY,Land,5.5,239580,2 Star,"$375,000 ",,Under Contract,"375,000","68,181.82",1.57,3 Lot Subdivision   Total 5.5 Acres,,,,,,Century 21 Cor-Ace Realty,Agricultural,Residential,Eastern Suffolk,Suburban,Suffolk,11934-2201,,,,,,,,-72.80079,40.80759
Bald Mountain Rd,Bear Creek Township,PA,Land,498,21692880,2 Star,"$375,000 ",,Under Contract,"375,000",753.01,0.02,,,,,,,"The Daniel Perich Group, KW Commercial",Agricultural,A-1,I-81 Corridor,Suburban,Luzerne,18702,,,,,,,,-75.75853,41.25331
3661 Ewings Rd,Lockport,NY,Land,80,3484800,2 Star,"$240,000 ",,Under Contract,"240,000","3,000.00",0.07,,,,,,,Zambito Realtors,Agricultural,N110,Outlying Niagara County,Suburban,Niagara,14094-1028,,,,,,,,-78.70369,43.23669
114 Emleys Hill Rd,Cream Ridge,NJ,Land,2,87120,,"$215,000 ",,Under Contract,"215,000","107,500.00",2.47,2 Acre Building Lot in Rural Cream Ridge Area,,,,,,Max Spann Real Estate & Auction Company,Agricultural,AR,Western Monmouth,Suburban,Monmouth,08514-1616,,,,,,,,-74.494019,40.152157
5694 Ridge,Lockport,NY,Land,27.8,1210968,2 Star,"$120,000 ",,Under Contract,"120,000","4,316.55",0.1,,,,,,,Hunt Commercial Real Estate,Agricultural,Agricultural,Outlying Niagara County,Suburban,Niagara,14094,,,,,,,,-78.727067,43.21714
156 W Colliers Mill Rd,New Egypt,NJ,Land,237,10323720,2 Star,,,Under Contract,,,,AUCTION | Two Preserved Farms Totaling 237 Ac,,,,,,Max Spann Real Estate & Auction Company,Agricultural,AR,Ocean County,Suburban,Ocean,08533-2012,,,,,,,,-74.48088,40.06723
43 HUDSON Ave,SLOVAN,PA,Land,0.17,7370,,"$40,000 ",9/11/2020,Sold,,"236,417.91",5.43,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15078,,,9/14/2020,10/8/2020,,,Public Record,-80.386559,40.358945
68-12 Markley Rd,Pennsburg,PA,Land,11.1,483516,,,9/11/2020,Sold,,,,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,18073-1807,,,11/12/2020,1/7/2021,,,Public Record,-75.5033,40.37018
1701 DEEP CREEK Rd,PERKIOMENVILLE,PA,Land,31.28,1362556,,,9/11/2020,Sold,,,,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,18074,,,10/29/2020,11/20/2020,,,Public Record,-75.545642,40.358073
3845 Manning Rd,Watkins Glen,NY,Land,0.78,33976,,"$277,000 ",9/10/2020,Sold,,"355,136.57",8.15,,,,,,,,Agricultural,,Ithaca/Elmira NY,Suburban,Schuyler,14837-1489,,,11/18/2020,12/14/2020,,,Public Record,-77.03783,42.41978
157 State Rd 1006,Dushore,PA,Land,12.96,564537,,"$75,000 ",9/10/2020,Sold,,"5,787.04",0.13,,,,,,,,Agricultural,,Pennsylvania Central Area,Suburban,Sullivan,18614-1861,,,11/13/2020,12/15/2020,,,Public Record,-76.41622,41.47264
4000 UPPER RIDGE Rd,PENNSBURG,PA,Land,26.35,1147806,,"$272,000 ",9/9/2020,Sold,,"10,322.58",0.24,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,18073,,,9/23/2020,11/5/2020,,,Public Record,-75.440904,40.372971
2658 NY-8,West Winfield,NY,Land,30.78,1340776,,,9/9/2020,Sold,,,,,,,,,,,Agricultural,,Madison County,Suburban,Madison,13418-1349,,,12/22/2020,2/3/2021,,,Public Record,-75.2543,42.84046
1025 BALTIMORE St,HANOVER,PA,Land,64.75,2820510,,,9/9/2020,Sold,,,,,,,,,,,Agricultural,,York County,Suburban,York,17331,,,9/11/2020,9/21/2020,,,Public Record,-76.967947,39.77596
E OF OVERLOOK,NEW RINGGOLD,PA,Land,2.94,128066,,"$275,000 ",9/8/2020,Sold,,"93,537.71",2.15,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17960,,,9/15/2020,10/12/2020,,,Public Record,-75.866812,40.724921
166 Fiddlers Green Rd,West Winfield,NY,Land,116.03,5054266,,"$31,900 ",9/8/2020,Sold,,274.93,0.01,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13491-1349,,,12/30/2020,1/20/2021,,,Public Record,-75.17029,42.85309
420 HILLSIDE Ave,WASHINGTON,PA,Land,0.31,13499,,"$5,000 ",9/8/2020,Sold,,"16,134.53",0.37,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15301,,,9/14/2020,10/8/2020,,,Public Record,-80.259138,40.175097
RIVERVIEW St,FREDERICKTOWN,PA,Land,0.71,30809,,$955 ,9/8/2020,Sold,,"1,350.20",0.03,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15333,,,9/14/2020,10/8/2020,,,Public Record,-79.997903,40.008557
102 SUNRISE Ln,VENETIA,PA,Land,0.5,21823,,,9/8/2020,Sold,,,,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15367,,,10/1/2020,10/22/2020,,,Public Record,-80.079053,40.25595
N OF BEN TITUS,MCADOO,PA,Land,87.4,3807144,,"$54,269 ",9/4/2020,Sold,,620.93,0.01,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,18237,,,10/16/2020,11/24/2020,,,Public Record,-75.963784,40.877507
947 Layfield Rd,Pennsburg,PA,Land,11.81,514443,,"$167,500 ",9/3/2020,Sold,,"14,182.91",0.33,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,18074-1807,,,10/27/2020,12/15/2020,,,Public Record,-75.52957,40.35974
417 Cannon Corners Rd,Mooers Forks,NY,Land,23.9,1041083,,"$15,000 ",9/3/2020,Sold,,627.62,0.01,,,,,,,,Agricultural,,Upstate New York Area,Suburban,Clinton,12959-1295,,,12/15/2020,1/5/2021,,,Public Record,-73.739,44.94695
KOPPER KETTLE Rd,WASHINGTON,PA,Land,1,43560,,"$8,500 ",9/3/2020,Sold,,"8,500.00",0.2,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15301,,,9/11/2020,10/20/2020,,,Public Record,-80.17738,40.155638
645 Franklin Mountain Rd,Otego,NY,Land,29.89,1302008,,,9/3/2020,Sold,,,,,,,,,,,Agricultural,,Otsego County,Suburban,Otsego,13825-1382,,,1/21/2021,2/9/2021,,,Public Record,-75.16879,42.37795
1087 HOFFMAN Rd,SMITHTON,PA,Land,11.87,517057,,,9/3/2020,Sold,,,,,,,,,,,Agricultural,,Westmoreland County,Suburban,Westmoreland,15479,,,9/25/2020,10/23/2020,,,Public Record,-79.729407,40.149572
LERAYSVILLE Rd,LERAYSVILLE,PA,Land,22.74,990554,,,9/3/2020,Sold,,,,,,,,,,,Agricultural,,Pennsylvania Central Area,Suburban,Bradford,18829,,,9/3/2020,10/20/2020,,,Public Record,-76.194397,41.868734
281 SUNRISE Dr,FREDERICKSBURG,PA,Land,7.61,331491,,,9/3/2020,Sold,,,,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17026,,,9/16/2020,10/11/2020,,,Public Record,-76.392334,40.454377
450 ROYERS Rd,MYERSTOWN,PA,Land,50,2178000,,,9/3/2020,Sold,,,,,,,,,,,Agricultural,,Lebanon,Suburban,Lebanon,17067,,,9/11/2020,9/21/2020,,,Public Record,-76.270988,40.357771
60 Penn Rd,Collegeville,PA,Land,7.05,307098,,"$650,000 ",9/2/2020,Sold,,"92,198.58",2.12,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,19426-1942,,,10/30/2020,12/15/2020,,,Public Record,-75.44906,40.20081
W BEECHNUT,NEW RINGGOLD,PA,Land,10.3,448668,,,9/2/2020,Sold,,,,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17960,,,9/14/2020,10/12/2020,,,Public Record,-75.958895,40.71145
3510 WARNER Rd,BROGUE,PA,Land,83.11,3620271,,"$50,000 ",9/1/2020,Sold,,601.61,0.01,,,,,,,,Agricultural,,York County,Suburban,York,17309,,,9/10/2020,9/22/2020,,,Public Record,-76.479109,39.850954
E OF I 81,PINE GROVE,PA,Land,82,3571920,,"$45,000 ",9/1/2020,Sold,,548.78,0.01,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17963,,,9/25/2020,10/12/2020,,,Public Record,-76.409345,40.599185
W OF TREMONT,TREMONT,PA,Land,25.3,1102068,,"$35,100 ",9/1/2020,Sold,,"1,387.35",0.03,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17981,,,9/25/2020,10/23/2020,,,Public Record,-76.389095,40.623419
S HAUTO,NESQUEHONING,PA,Land,10.9,474804,,"$5,500 ",9/1/2020,Sold,,504.59,0.01,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,18240,,,9/25/2020,10/12/2020,,,Public Record,-75.92715,40.830838
N MAIN St,HOUSTON,PA,Land,0.18,7936,,"$1,000 ",9/1/2020,Sold,,"5,488.91",0.13,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15342,,,10/9/2020,10/29/2020,,,Public Record,-80.218873,40.259199
708 THOMPSON Ave,DONORA,PA,Land,0.05,2199,,$600 ,9/1/2020,Sold,,"11,885.40",0.27,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15033,,,10/8/2020,10/29/2020,,,Public Record,-79.85675,40.179514
JOHNSON St,HOUSTON,PA,Land,0.09,4059,,$600 ,9/1/2020,Sold,,"6,439.02",0.15,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15342,,,10/8/2020,10/29/2020,,,Public Record,-80.205229,40.248665
1177 Old William Penn Hwy,Pittsburgh,PA,Land,47,2047320,,,9/1/2020,Sold,"200,000",,,,,,,,,Albert Anthony Real Estate,Agricultural,,Parkway East Corridor,Suburban,Allegheny,15235,,,,12/3/2020,,,Public Record,-79.8058798,40.4446078
547 Birch Dr,Houston,PA,Land,0.32,14039,,"$298,135 ",8/31/2020,Sold,,"925,048.84",21.24,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15342-1534,,,1/4/2021,1/20/2021,,,Public Record,-80.22252,40.24081
3083 Bedette Rd,Clifton Springs,NY,Land,72.2,3145032,,"$40,000 ",8/31/2020,Sold,,554.02,0.01,,,,,,,,Agricultural,,Outlying Ontario County,Suburban,Ontario,14432-1443,,,9/2/2020,12/23/2020,,,Public Record,-77.16348,43.03183
Unnamed Road,West Finley,PA,Land,0.09,4051,,"$1,638 ",8/31/2020,Sold,,"17,613.25",0.4,,,,,,,,Agricultural,,Washington County,Suburban,Washington,,,,1/4/2021,1/20/2021,,,Public Record,-80.4773,39.96974
2218 Leithsville Rd,Hellertown,PA,Land,8.11,353271,,,8/31/2020,Sold,,,,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18055-1805,,,2/18/2021,3/3/2021,,,Public Record,-75.31664,40.5496
5647 UMBLETOWN Rd,GAP,PA,Land,20.6,897336,,,8/31/2020,Sold,,,,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17527,,,9/11/2020,10/7/2020,,,Public Record,-75.99673,39.996337
160 S Wade Ave,Washington,PA,Land,0.07,3258,,"$315,600 ",8/30/2020,Sold,,"4,219,624.31",96.87,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15301,,,10/16/2020,10/30/2020,,,Public Record,-80.2368621,40.1685256
Potter,Ovid,NY,Land,48.5,2112660,,"$1,325,250 ",8/28/2020,Sold,,"27,324.74",0.63,,,,,,,,Agricultural,,Ithaca/Elmira NY,Suburban,Seneca,14847,,,9/1/2020,10/4/2020,,,Public Record,-76.725754,42.655268
S STONY Mtn,AUBURN,PA,Land,36.6,1594296,,,8/28/2020,Sold,,,,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17922,,,9/22/2020,10/12/2020,,,Public Record,-76.139159,40.571466
415 MARTICVILLE Rd,CONESTOGA,PA,Land,20.2,879912,,,8/28/2020,Sold,,,,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17516,,,9/9/2020,10/6/2020,,,Public Record,-76.297035,39.942847
TINKS Rd,GRANVILLE SUMMIT,PA,Land,21.16,921729,,,8/28/2020,Sold,,,,,,,,,,,Agricultural,,Pennsylvania Central Area,Suburban,Bradford,16926,,,9/8/2020,9/21/2020,,,Public Record,-76.628647,41.756731
E GREEN Mtn,ZION GROVE,PA,Land,12.2,531432,,"$11,075 ",8/27/2020,Sold,,907.79,0.02,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17985,,,8/31/2020,10/19/2020,,,Public Record,-76.195336,40.893586
5 CAMP GREEN LANE Rd,GREEN LANE,PA,Land,18.04,785822,,,8/27/2020,Sold,,,,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,18054,,,9/11/2020,10/22/2020,,,Public Record,-75.418435,40.335361
Exchange,East Aurora,NY,Land,43.8,1907927,,,8/27/2020,Sold,,,,,,,,,,,Agricultural,,South,Suburban,Erie,14052,,,9/2/2020,10/7/2020,,,Public Record,-78.609581,42.7710266
State Route 309 (Part of Portfolio),Freeland,PA,Land,840.96,36632218,,"$1,771,024 ",8/26/2020,Sold,,"2,105.96",0.05,,Daniel Hawbaker,National,,Pasco L Schiavo,Local,,Agricultural,,I-81 Corridor,Suburban,Luzerne,18224,,,9/14/2020,10/20/2020,,Allocated,Research Complete,-75.9021745,40.9956885
210 COFFEE GOSS Rd,MARIETTA,PA,Land,22.81,993603,,"$330,000 ",8/26/2020,Sold,,"14,467.35",0.33,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17547,,,8/31/2020,10/1/2020,,,Public Record,-76.568565,40.072352
Scout House,Slatington,PA,Land,1.54,67082,,"$48,000 ",8/26/2020,Sold,,"31,169.02",0.72,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Lehigh,18080,,,8/26/2020,10/5/2020,,,Public Record,-75.6282515,40.7516489
3194 Harvest Dr,Ronks,PA,Land,11.01,479595,,,8/26/2020,Sold,,,,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17572-9752,,,8/31/2020,10/1/2020,,,Public Record,-76.132997,40.02871
107 FAIRVIEW Cir,VENETIA,PA,Land,2.24,97609,,"$205,000 ",8/25/2020,Sold,,"91,485.42",2.1,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15367,,,8/26/2020,9/22/2020,,,Public Record,-80.056115,40.274835
Spoil Bank,Elba,NY,Land,10,435600,,,8/25/2020,Sold,,,,,,,,,,,Agricultural,,Orleans County,Suburban,Orleans,14058,,,8/25/2020,9/28/2020,,,Public Record,-78.1549931,43.1325497
145 WATERFALL Rd,PINE GROVE,PA,Land,1.5,65340,,,8/25/2020,Sold,,,,,,,,,,,Agricultural,,Schuylkill County,Suburban,Schuylkill,17963,,,8/26/2020,9/22/2020,,,Public Record,-76.373201,40.57068
Safford,East Otto,NY,Land,93.55,4075038,,"$84,000 ",8/24/2020,Sold,,897.92,0.02,,,,,,,,Agricultural,,New York West Area,Suburban,Cattaraugus,14719,,,8/25/2020,10/5/2020,,,Public Record,-78.7683966,42.3618105
28 OLD MERRICK Ln,SAYRE,PA,Land,14.2,618552,,,8/24/2020,Sold,,,,,,,,,,,Agricultural,,Pennsylvania Central Area,Suburban,Bradford,18840,,,8/28/2020,10/5/2020,,,Public Record,-76.581517,41.993656
1100 S GRANDVIEW St,YOUNGWOOD,PA,Land,10.5,457380,,,8/24/2020,Sold,,,,,,,,,,,Agricultural,,Westmoreland County,Suburban,Westmoreland,15697,,,8/25/2020,9/11/2020,,,Public Record,-79.587543,40.242456
6 Van Buren Rd,Camden,NY,Land,8.4,365904,,"$35,000 ",8/23/2020,Sold,,"4,166.67",0.1,,,,,,,,Agricultural,,Outlying Oneida County,Suburban,Oneida,13316-1331,,,10/7/2020,3/12/2021,,,Public Record,-75.77881,43.38545
Heyer Mill,Nazareth,PA,Land,5.65,246114,,"$135,000 ",8/21/2020,Sold,,"23,893.81",0.55,,,,,,,,Agricultural,,Lehigh Valley,Suburban,Northampton,18064,,,8/25/2020,9/23/2020,,,Public Record,-75.3563641,40.7815983
York,York Hamlet,NY,Land,17.6,766656,,"$90,000 ",8/21/2020,Sold,,"5,113.64",0.12,,,,,,,,Agricultural,,Livingston County,Suburban,Livingston,14592,,,8/21/2020,9/28/2020,,,Public Record,-77.8767764,42.870742
339 TOWNSHIP LINE Rd,PERKIOMENVILLE,PA,Land,20.39,888188,,,8/21/2020,Sold,,,,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,18074,,,9/9/2020,10/22/2020,,,Public Record,-75.531676,40.312325
180 Buttermilk Falls Ln,Apollo,PA,Land,22.31,971823,,,8/20/2020,Sold,,,,,,,,,,,Agricultural,,Armstrong County,Suburban,Armstrong,15613,,,11/9/2020,11/18/2020,,,Public Record,-79.54483,40.60324
2625 COUNTY LINE Rd,DILLSBURG,PA,Land,10,435600,,,8/20/2020,Sold,,,,,,,,,,,Agricultural,,York County,Suburban,York,17019,,,8/27/2020,9/18/2020,,,Public Record,-77.132231,40.071301
5130 PETERS Rd,KINZERS,PA,Land,25,1089000,,,8/20/2020,Sold,,,,,,,,,,,Agricultural,,Lancaster County,Suburban,Lancaster,17535,,,8/24/2020,9/16/2020,,,Public Record,-76.042638,40.05246
410 HOUSEMAN Rd,PERKIOMENVILLE,PA,Land,34,1481040,,"$375,000 ",8/19/2020,Sold,,"11,029.41",0.25,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,18074,,,9/14/2020,11/5/2020,,,Public Record,-75.534539,40.322432
211 LYONS St,HOUSTON,PA,Land,0.25,10876,,"$242,500 ",8/19/2020,Sold,,"971,159.33",22.3,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15342,,,8/19/2020,9/23/2020,,,Public Record,-80.222294,40.230145
3242 SALFORD STATION Rd,PERKIOMENVILLE,PA,Land,11.97,521413,,,8/18/2020,Sold,,,,,,,,,,,Agricultural,,West Montgomery County,Suburban,Montgomery,18074,,,9/2/2020,10/6/2020,,,Public Record,-75.494036,40.310797
26 MEYERS Rd,WASHINGTON,PA,Land,1,43560,,"$329,000 ",8/17/2020,Sold,,"329,000.00",7.55,,,,,,,,Agricultural,,Washington County,Suburban,Washington,15301,,,9/4/2020,10/6/2020,,,Public Record,-80.171929,40.143366
141 Brynmore Rd,New Egypt,NJ,Land,26,1132560,2 Star,"$229,000 ",8/17/2020,Sold,,"8,807.69",0.2,26+/- Acre Christmas Tree and Nursery Farm,,,,,,Max Spann Real Estate & Auction Company,Agricultural,,Ocean County,Suburban,Ocean,08533-1908,,,9/14/2020,10/22/2020,,,Public Record,-74.512901,40.053107
Myers,Ligonier,PA,Land,25.5,1110780,,"$25,000 ",8/17/2020,Sold,,980.39,0.02,,,,,,,,Agricultural,,Westmoreland County,Suburban,Westmoreland,15658,,,8/20/2020,9/28/2020,,,Public Record,-79.2241932,40.2857502
